,0.0,0.25,0.5,0.75,1.0
Negative Control,-0.00035931648579781396,-0.0037305573605882726,-0.009014035286400332,-0.009258792885582637,-0.013344155584154988
CollectRI,0.0065450635747181475,0.023108757093749627,0.015579955148551641,0.021618613525756468,0.019451879866525457
GRANIE,0.0030966840363207673,0.05888875026276369,0.06370368822447516,0.059381315393207026,0.06327884725160338
CellOracle,0.09795033276917992,0.25241464052920676,0.2690510444757967,0.2613712370818573,0.2728371850414047
FigR,0.009723207733472725,0.056389570071319554,0.051656089501314194,0.05219407331995967,0.05321669092324709
scGLUE,0.014378640788535157,0.18101843423486982,0.2061896131417963,0.21193817764809345,0.24731879005289517
Scenic+,0.11823854913798347,0.24398802158120683,0.24865785369122734,0.24342281971062757,0.2462247889521735
Positive Control,0.20720900961194333,0.44259905603775435,0.4621102843327385,0.4904498493471763,0.5120462507270239
