,NMI_cluster/label,ASW_label,ASW_label/batch,cell_cycle_conservation,kBET,Batch classifier
n_counts,0.9322185908582622,0.7023825347423553,0.8571418476134656,1.0,0.022652356902357007,0.13317972350230423
lognorm,0.8534592059983236,0.7155386805534363,0.9001588633707456,0.4295596538257671,0.024523569023569003,0.11428571428571421
pearson,0.8360318642112723,0.7256952375173569,0.9072007895787317,0.6136275302735855,0.06861279461279468,0.11428571428571421
seurat_lognorm,0.8876038175473128,0.7746687233448029,0.9380795050851107,0.4636349882302307,0.8135488215488216,0.06036866359447013
seurat_pearson,0.8896786934341486,0.7780445516109467,0.8976895221132668,0.6361504022998975,0.7190159932659933,0.10921658986175109
scgen_lognorm,0.8930280880651718,0.7906863689422607,0.9215554483953938,0.5539344011440793,0.573013468013468,0.504147465437788
scgen_pearson,0.8945087573518866,0.8035175204277039,0.8660145613030467,0.6699781376095336,0.5666952861952862,0.5138248847926267
