,NMI_cluster/label,ASW_label,ASW_label/batch,cell_cycle_conservation,kBET
pearson,0.8537138215307336,0.7543559074401855,0.9437478795578821,0.5761830579276414,0.05568771043771048
lognorm,0.8155574217017911,0.7225895822048187,0.8944504976197163,0.437057846743677,0.015146464646464741
