,Negative Control,CollectRI,GRANIE,CellOracle,FigR,scGLUE,Scenic+,Positive Control
scGEN-APR,-0.004829398333902917,0.014583994514863639,0.05366625436797132,0.23574378451186984,0.046266138846869295,0.20399151178369856,,0.429410100223009
Seurat-SLA,-0.004583960230790423,0.005057687302806665,0.05337364904250926,0.06813207230548635,0.06244458374340157,0.11526687870836395,,0.4259128985083164
Mean,-0.00470667928234667,0.009820840908835152,0.05351995170524029,0.1519379284086781,0.054355361295135435,0.15962919524603125,,0.42766149936566267
