,Negative Control,CollectRI,GRANIE,CellOracle,FigR,scGLUE,Scenic+,Positive Control
scGEN-APR,-0.004829398333902917,0.019601935003544242,0.1101351759014783,0.2923695215063842,0.05982383987163734,0.21902023923163338,,0.429410100223009
Seurat-SLA,-0.005596995640598961,0.0035008674938967325,0.13908395148204789,0.11584290710107127,0.14865393159987078,0.21516122548162198,,0.42588713870847417
Mean,-0.005213196987250939,0.011551401248720488,0.1246095636917631,0.20410621430372772,0.10423888573575406,0.21709073235662768,,0.4276486194657416
