,Negative Control,CollectRI,GRANIE,CellOracle,FigR,scGLUE,Scenic+,Positive Control
APR,-0.011755122590997657,0.0004997539228394882,0.11016202441269006,0.27267524360130097,0.05688242997919025,0.18738546166200226,0.24542855070150632,0.5396332793045305
SLA,-0.008770096346785737,-0.00909417752628901,0.12796382308460288,0.09795507639265667,0.12475924434627907,0.2002650427751191,0.134740975621541,0.4340920608064635
Seurat-APR,,,,,,,,
Seurat-SLA,-0.009883696038003412,-0.005770577394159772,0.15474065568361817,0.11111587725630805,0.14671420381980704,0.23024636230213705,0.16410527240343298,0.4648791965687886
scGEN-APR,-0.011357061819493974,0.026574643188192484,0.11711027128306463,0.30486648299971963,0.06569013554282459,0.23157917657620966,0.2882172821563746,0.5147139576520243
scGEN-SLA,,,,,,,,
Mean,-0.010441494198820195,0.003052410547645797,0.12749419361599393,0.19665317006249633,0.09851150342202523,0.212369010828867,0.20812302022071372,0.48832962358295173
