,Negative Control,CollectRI,GRANIE,CellOracle,FigR,scGLUE,Scenic+,Positive Control
APR,-0.011278447345129077,0.006422475851305681,0.053058958469565244,0.23091958122505338,0.041879446634013606,0.2008774441823371,0.19349492030707896,0.6063340659484294
SLA,-0.009063932608448599,0.0015650657233026758,0.04740492711100853,0.054694733312703754,0.04994374117420044,0.10418064935958543,0.08801674106733241,0.6897281115190496
Seurat-APR,-0.010991915829403414,0.015439082225975736,0.06043337912388722,0.2369330153242372,0.04646187171456661,0.2063280385810371,0.20531727248101594,0.6127855576861129
Seurat-SLA,-0.009543125012158525,0.0014658385683189367,0.055344942708675175,0.06460148176275628,0.06102184044202906,0.12081522645953402,0.10580393802431737,0.6796982361162195
scGEN-APR,-0.013344155584154988,0.019451879866525457,0.06327884725160338,0.2728371850414047,0.05321669092324709,0.24731879005289517,0.2462247889521735,0.5120462507270239
scGEN-SLA,-0.009090793035084484,0.008793971383573693,0.11229280643156477,0.1283658078928443,0.12328083710414126,0.23710351268604543,0.21136711732475566,0.9054287602333518
Mean,-0.010552061569063182,0.00885638560316703,0.06530231018271739,0.16472530075983327,0.06263407133203301,0.18610394355357238,0.1750374630261123,0.6676701637050312
