,Negative Control,CollectRI,GRANIE,CellOracle,FigR,scGLUE,Scenic+,Positive Control
APR,-0.011278447345129077,0.011812937550339056,0.10965300217734528,0.2826256904210567,0.05580223721845713,0.20469300873527474,0.2500401817737316,0.6063340659484294
SLA,-0.009595850276775586,-0.00869575613028654,0.1371361154450024,0.09616267805510642,0.1236177667184358,0.19857343881930598,0.137877083791415,0.6897309689448587
Seurat-APR,-0.012527956136202422,0.017228052794503054,0.11131533947978846,0.2863595254144351,0.0667828826214191,0.2278714017494927,0.27390901363413384,0.6123314626469311
Seurat-SLA,-0.00890885120478397,-0.008258161980169869,0.15497049919028494,0.11283895244035375,0.14359642327594901,0.22611120611654587,0.1623766995599525,0.679695268749466
scGEN-APR,-0.01099244525091803,0.016948099703475068,0.1236439550630297,0.33176982840476427,0.08414715496299825,0.2717151693322725,0.31144854404632744,0.5055858675258333
scGEN-SLA,-0.009152775424677143,0.007526688471577968,0.26691031343110594,0.1878261031934532,0.24750810538755175,0.3720132290478312,0.2786528009328382,0.9056788547846243
Mean,-0.010409387606414371,0.006093643401573122,0.15060487079775944,0.21626379632152823,0.12024242836413516,0.25016290896678717,0.2357173872897331,0.6665594147666906
