	ex(True)_tf(-1)	ex(True)_tf(140)	ex(False)_tf(140)	ex(False)_tf(-1)
Negative Control	-0.0052131969872509	-0.01062037892874865	-0.00470667928234665	-0.0101035713047909
CollectRI	0.01155140124872045	0.01040203289701635	0.0098208409088351	0.008850385881308
GRANIE	0.12460956369176304	0.13592546348334136	0.05351995170524025	0.05593486249091805
CellOracle	0.2041062143037277	0.2079911801280138	0.15193792840867806	0.1573026883224998
FigR	0.104238885735754	0.10620216968131574	0.05435536129513535	0.0555022055867434
scGLUE	0.2170907323566276	0.2309127694391733	0.1596291952460312	0.1811653914699921
Scenic+	0.22616127727990376	0.22616127727990376	0.16923043217823464	0.16923043217823464
Positive Control	0.42764861946574156	0.4897965771104065	0.42766149936566267	0.48978365899179016
