,Negative Control,CollectRI,GRANIE,CellOracle,FigR,scGLUE,Scenic+,Positive Control
APR,-0.011755122590997655,0.010385592865578105,0.04839250589525537,0.21755441828145042,0.032413880501261066,0.18222322386459316,0.18064227908895675,0.5396333317117866
SLA,-0.00907777098615918,0.0009708515893667533,0.048949593429584895,0.05601203978045747,0.05101180721358267,0.10381891258613303,0.08641411125164092,0.43409810918682284
Seurat-APR,,,,,,,,
Seurat-SLA,-0.008850080790087972,0.0026582195023968245,0.054721215313123364,0.06449953292886784,0.06111576974280142,0.12520522037377074,0.10662284301871869,0.4648532767506732
scGEN-APR,-0.011357061819493974,0.015042552260219213,0.05714850966871287,0.2501058437161318,0.04988864143068549,0.23712556256621353,0.23183802133775075,0.5147140412329071
scGEN-SLA,,,,,,,,
Mean,-0.010260009046684695,0.007264304054390224,0.05230295607666913,0.1470429586767269,0.048607524722082664,0.1620932298476776,0.1513793136742668,0.48832468972054743
