,collectri,granie,figr,celloracle,scglue,scenicplus
0,0.21007451102127053,0.21422865330558385,0.23405479457384903,0.217247029913065,0.24410184559413461,0.24454852584861417
10,0.20888949038817572,0.21420850094292815,0.23395023027810388,0.21728860844544817,0.24367037028354713,0.244314865459723
20,0.2092397674671,0.21406568157864067,0.23433971748116078,0.21761909558955037,0.24397864121916807,0.24428799648226385
50,0.20879277506677726,0.21411149165108725,0.23384271074615823,0.21471648733662113,0.24424988012734242,0.2432670828325234
100,0.20883945539909532,0.21385521417116313,0.2343018384218757,0.21619202506453922,0.24360477894821111,0.24270383762147052
