,collectri,granie,figr,celloracle,scglue,scenicplus
0,0.21007451102127053,0.21422865330558385,0.23405479457384903,0.217247029913065,0.24410184559413461,0.24454852584861417
10,0.20775801062898092,0.2133089796499439,0.23344808695538544,0.21479047819356248,0.24267949630382846,0.2414560698881232
20,0.2092597563376559,0.21303476374697464,0.23187840844564975,0.21293039163667302,0.23828208157224526,0.2391309047755904
50,0.2064897500538833,0.2107861183021059,0.2248685699607217,0.20924932823691855,0.23055316311718377,0.23055652752460987
100,0.20547276963018135,0.2068311630231896,0.20922880427609092,0.20345964109420975,0.20130116104538268,0.21196191490405034
