,collectri,granie,figr,celloracle,scglue,scenicplus
Default,-0.22447126843116916,0.18510466374311793,0.18678867207977032,0.22892668475851363,0.2349205700729963,0.33327044983548626
NC compound,-0.24930359146481618,0.20048244936604978,0.2111468887395312,0.23408948124870413,0.25088057807672004,0.3582980581905689
PC compounds,-0.24207223557155366,0.17592215444161333,0.17973429741658015,0.21579863658885728,0.21892400110842591,0.3164645181029488
