,collectri,granie,figr,celloracle,scglue,scenicplus
0,-0.22447126843116916,0.18510466374311793,0.18678867207977032,0.22892668475851363,0.2349205700729963,0.33327044983548626
10,-0.2741308661011114,0.1218771491104203,0.15088535347853566,0.17075640043764417,0.18200073787253454,0.28863408905392124
20,-0.2881053570414048,0.08320255900819049,0.09382206188548742,0.10604637311155149,0.130437228827834,0.21589619126295853
50,-0.33301883764802725,-0.008502403468459025,-0.0377029037382666,-0.009838038572047757,-0.06121556449203985,-0.009351345882454207
100,-0.22447126843116916,0.18510466374311793,0.18678867207977032,0.22892668475851363,0.2349205700729963,0.33327044983548626
