,collectri,negative_control,positive_control,pearson_corr,portia,ppcor,grnboost2,scenic,granie,scglue,celloracle
lognorm,0.1835663375098178,0.1866582411403509,0.2542579979522267,0.2545864700528915,0.1786879542230278,0.1650786326755627,0.3416445090731922,0.2825142905475739,0.1573042670698667,0.2123753087997045,0.3015678166241068
pearson,0.2164191978689224,0.2137070490422994,0.3008226370536655,0.2821753162328144,0.2090924300289071,0.1960366646136501,0.371400471389695,0.3161463137269021,0.1710446112829973,0.2387073466875001,0.3216081791449833
seurat_lognorm,0.2513665383837123,0.2541039022187852,0.3111818004221434,0.3175258911113997,0.245859800861084,0.2337509590961203,0.4133608017333702,0.3551511265983357,0.2165153623397331,0.2783840386257936,0.3734170097547553
seurat_pearson,0.3228594994413458,0.3215375657600767,0.390512586952416,0.3765175144886478,0.3097335015170483,0.2947940375747557,0.4740448262262319,0.4209167721718606,0.2892916152812014,0.3418011713272315,0.4262636742336338
scgen_lognorm,0.5447187555493312,0.5437961173821053,0.6101699584113278,0.5749381661691756,0.5387272196434566,0.53208534515857,0.6467081973610911,0.6084462598716476,0.5121966270899787,0.5642943970362307,0.6237393419100675
scgen_pearson,0.5148960117793112,0.5013892900771975,0.584693506979962,0.5491884282974597,0.5131568548238488,0.506146728140911,0.6195268402013013,0.5832021173555088,0.4585061457162369,0.5339155514968873,0.5846870003196757
