,collectri,negative_control,positive_control,pearson_corr,portia,ppcor,genie3,grnboost2,scenic,scglue,celloracle
lognorm,-0.050548298194589,-0.042234103687005,0.082100742333461,0.0469973197410022,0.0148559172392652,0.0030781130668953,0.0732062134032695,0.0916190611176681,0.06881000381864,0.0273147039768177,0.0681647192820398
pearson,-0.0954743169530358,-0.0411301019021211,0.1634702097315251,0.217511364867106,0.1131850172510671,0.0166863996826382,0.2959203970167808,0.2991597291942517,0.1172409812204525,0.0618477748345048,0.1714218227177163
seurat_lognorm,-0.052159260762589,-0.0414319312884032,0.0871519940991493,0.0535045413328072,0.0174660987369757,0.0037234723049671,0.0817028140956605,0.1051077862172507,0.0792172149424995,0.0315967387713803,0.0786476165291644
seurat_pearson,-0.0953430495609319,-0.0417470815386017,0.174773496508065,0.2198168825879373,0.1081107455600928,0.0166148076259529,0.2936779056800903,0.3018316171953691,0.1227651781101148,0.0648903281022915,0.1814890793774325
scgen_lognorm,-0.0598491652906394,-0.0418156681119106,0.1604659959255563,0.0944113190596278,0.0554866679527249,0.0087948606091523,0.1623193496990657,0.219726736302638,0.1478121249909748,0.0605718657502039,0.1504240120140826
scgen_pearson,-0.1002379221208425,-0.0393053883066033,0.1971294842676144,0.2693794991038768,0.1489408180614144,0.0228455074128645,0.3726407236236597,0.3810323994034413,0.147552526110248,0.0783089182973077,0.2168971675598156
